timestamp_utc,event,case,detail
2026-09-17T15:10:55.811053+00:00,BACKFILL_SIGNAL_SKIPPED,eur_low,GBP long entry=1.34834 sl=1.34734 tp=1.35234 sl_pips=10.00 units=100000 candle_time=2026-09-15 01:00:00-04:00
2026-09-17T15:10:55.811337+00:00,TRADE_CLOSED,eur_low,LOSS pnl=-100.00 exit=1.34734 candle_time=2026-09-15 02:00:00-04:00
2026-09-17T15:10:55.813189+00:00,BACKFILL_SIGNAL_SKIPPED,gbp_low,EUR long entry=1.15333 sl=1.15233 tp=1.15733 sl_pips=10.00 units=100000 candle_time=2026-09-16 08:00:00-04:00
2026-09-17T15:10:55.813610+00:00,TRADE_CLOSED,gbp_low,LOSS pnl=-100.00 exit=1.15233 candle_time=2026-09-16 14:00:00-04:00
2026-09-17T15:10:55.814821+00:00,BACKFILL_DONE,,caught up to 2026-09-17 10:00:00-04:00
2026-09-17T15:15:49.958632+00:00,NO_NEW_CANDLES,,
2026-09-17T15:20:51.732958+00:00,NO_NEW_CANDLES,,
2026-09-17T15:25:43.835066+00:00,NO_NEW_CANDLES,,
2026-09-17T15:31:07.613090+00:00,NO_NEW_CANDLES,,
2026-09-17T15:35:43.725480+00:00,NO_NEW_CANDLES,,
2026-09-17T15:40:56.491675+00:00,NO_NEW_CANDLES,,
2026-09-17T15:45:49.531619+00:00,NO_NEW_CANDLES,,
2026-09-17T15:50:52.991319+00:00,NO_NEW_CANDLES,,
2026-09-17T15:55:44.701602+00:00,NO_NEW_CANDLES,,
